g_form,L_ctx,wall,C,var,local_exponent
exp,2048,D≤1.8e13,5.011872336272715e+19,tokens_per_param,0.5236239408491645
exp,2048,D≤1.8e13,6.309573444801942e+19,tokens_per_param,0.5120116538787318
exp,2048,D≤1.8e13,7.94328234724279e+19,tokens_per_param,0.5000793825591643
exp,2048,D≤1.8e13,1e+20,tokens_per_param,0.48784514002094603
exp,2048,D≤1.8e13,1.2589254117941713e+20,tokens_per_param,0.47532560176008065
exp,2048,D≤1.8e13,1.5848931924611108e+20,tokens_per_param,0.46254668653983355
exp,2048,D≤1.8e13,1.995262314968883e+20,tokens_per_param,0.44953876966164774
exp,2048,D≤1.8e13,2.5118864315095718e+20,tokens_per_param,0.4363320563010378
exp,2048,D≤1.8e13,3.1622776601683794e+20,tokens_per_param,0.4229607965322346
exp,2048,D≤1.8e13,3.9810717055349857e+20,tokens_per_param,0.409465699822376
exp,2048,D≤1.8e13,5.0118723362727146e+20,tokens_per_param,0.39589335026343964
exp,2048,D≤1.8e13,6.309573444801943e+20,tokens_per_param,0.38228420439293753
exp,2048,D≤1.8e13,7.943282347242789e+20,tokens_per_param,0.36868352213770716
exp,2048,D≤1.8e13,1e+21,tokens_per_param,0.3551450994419749
exp,2048,D≤1.8e13,1.2589254117941712e+21,tokens_per_param,0.3417172580865584
exp,2048,D≤1.8e13,1.5848931924611107e+21,tokens_per_param,0.3284522483470651
exp,2048,D≤1.8e13,1.995262314968883e+21,tokens_per_param,0.3153965564834653
exp,2048,D≤1.8e13,2.5118864315095717e+21,tokens_per_param,0.3025947276518224
exp,2048,D≤1.8e13,3.1622776601683794e+21,tokens_per_param,0.29010150113858657
exp,2048,D≤1.8e13,3.9810717055349854e+21,tokens_per_param,0.2779455655026517
exp,2048,D≤1.8e13,5.011872336272714e+21,tokens_per_param,0.2661733393468655
exp,2048,D≤1.8e13,6.309573444801943e+21,tokens_per_param,0.2548169134438165
exp,2048,D≤1.8e13,7.943282347242789e+21,tokens_per_param,0.24390195690458505
exp,2048,D≤1.8e13,1e+22,tokens_per_param,0.23345678777414136
exp,2048,D≤1.8e13,1.2589254117941714e+22,tokens_per_param,0.22349468895729174
exp,2048,D≤1.8e13,1.584893192461111e+22,tokens_per_param,0.21402531367293243
exp,2048,D≤1.8e13,1.995262314968883e+22,tokens_per_param,0.20506322285394596
exp,2048,D≤1.8e13,2.511886431509572e+22,tokens_per_param,0.1966086016043711
exp,2048,D≤1.8e13,3.1622776601683792e+22,tokens_per_param,0.18865146035348346
exp,2048,D≤1.8e13,3.981071705534985e+22,tokens_per_param,0.1811947839022512
exp,2048,D≤1.8e13,5.011872336272714e+22,tokens_per_param,0.17422534424279768
exp,2048,D≤1.8e13,6.309573444801943e+22,tokens_per_param,0.16772482129847077
exp,2048,D≤1.8e13,7.94328234724279e+22,tokens_per_param,0.16168417270211854
exp,2048,D≤1.8e13,1e+23,tokens_per_param,0.1560887716047592
exp,2048,D≤1.8e13,1.2589254117941712e+23,tokens_per_param,0.15090413939853597
exp,2048,D≤1.8e13,1.584893192461124e+23,tokens_per_param,0.14611920906950537
exp,2048,D≤1.8e13,1.9952623149688827e+23,tokens_per_param,0.14170973077665927
exp,2048,D≤1.8e13,2.5118864315095718e+23,tokens_per_param,0.13765635596110748
exp,2048,D≤1.8e13,3.162277660168379e+23,tokens_per_param,0.1339404627694094
exp,2048,D≤1.8e13,3.9810717055349855e+23,tokens_per_param,0.13052815591124478
exp,2048,D≤1.8e13,5.011872336272756e+23,tokens_per_param,0.127408118511525
exp,2048,D≤1.8e13,6.309573444801942e+23,tokens_per_param,0.12455979890089885
exp,2048,D≤1.8e13,7.94328234724279e+23,tokens_per_param,0.12195738626011732
exp,2048,D≤1.8e13,1e+24,tokens_per_param,0.11958370265497287
exp,2048,D≤1.8e13,1.2589254117941714e+24,tokens_per_param,0.117419882228182
exp,2048,D≤1.8e13,1.584893192461124e+24,tokens_per_param,0.11546339509094672
exp,2048,D≤1.8e13,1.9952623149688828e+24,tokens_per_param,0.11367714991594724
exp,2048,D≤1.8e13,2.511886431509572e+24,tokens_per_param,0.11205003705556926
exp,2048,D≤1.8e13,3.1622776601683796e+24,tokens_per_param,0.11057656157968765
exp,2048,D≤1.8e13,3.9810717055349857e+24,tokens_per_param,0.10924007756856113
exp,2048,D≤1.8e13,5.011872336272756e+24,tokens_per_param,0.10803837280107409
exp,2048,D≤1.8e13,6.309573444801943e+24,tokens_per_param,0.10693571828619852
exp,2048,D≤1.8e13,7.943282347242789e+24,tokens_per_param,0.10594379479356242
exp,2048,D≤1.8e13,1e+25,tokens_per_param,-0.01594270870315384
exp,2048,D≤1.8e13,1.2589254117941714e+25,tokens_per_param,-0.570890984500739
exp,2048,D≤1.8e13,1.5848931924611239e+25,tokens_per_param,-1.0039586309282758
exp,2048,D≤1.8e13,1.995262314968883e+25,tokens_per_param,-1.0031418489204231
exp,2048,D≤1.8e13,2.5118864315095717e+25,tokens_per_param,-1.002494019154918
exp,2048,D≤1.8e13,3.1622776601683795e+25,tokens_per_param,-1.0019800362074722
exp,2048,D≤1.8e13,3.9810717055349854e+25,tokens_per_param,-1.001572147112702
exp,2048,D≤1.8e13,5.0118723362727555e+25,tokens_per_param,-1.0012483900495202
exp,2048,D≤1.8e13,6.309573444801943e+25,tokens_per_param,-1.0009913724280963
exp,2048,D≤1.8e13,7.943282347242788e+25,tokens_per_param,-1.0007873117478816
exp,2048,D≤1.8e13,1e+26,tokens_per_param,-1.000625280914866
exp,2048,D≤1.8e13,1.2589254117941714e+26,tokens_per_param,-1.0004966132935538
exp,2048,D≤1.8e13,1.584893192461124e+26,tokens_per_param,-1.0003944329635637
exp,2048,D≤1.8e13,1.995262314968883e+26,tokens_per_param,-1.0003132833770563
exp,2048,D≤1.8e13,2.511886431509572e+26,tokens_per_param,-1.0002488335161228
exp,2048,D≤1.8e13,3.1622776601683796e+26,tokens_per_param,-1.0001976451942984
exp,2048,D≤1.8e13,3.9810717055349854e+26,tokens_per_param,-1.0001569886642683
exp,2048,D≤1.8e13,5.0118723362727554e+26,tokens_per_param,-1.0001246964314183
exp,2048,D≤1.8e13,6.309573444801942e+26,tokens_per_param,-1.0000990473112763
