Model,#Params (B),Submission Date,Hub License,Type,Average ⬆️,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,Epoch_AI_Publication_Date,Epoch_AI_Organization,Epoch_AI_Open_Weights
01-ai/Yi-1.5-9B-Chat-16K,8.829,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",23.76539234993476,42.14040966856828,31.49760894701832,17.82477341389728,7.829977628635347,10.03828125,33.261303191489354,2024-05-13,01.AI,Yes
01-ai/Yi-34B,34.389,2024-06-12,apache-2.0,🟢 pretrained,22.373127018936653,30.45751938190668,35.542431259008794,5.13595166163142,15.548098434004473,9.648437500000004,37.90632387706855,2023-11-02,01.AI,Yes
01-ai/Yi-34B-200K,34.389,2024-06-12,apache-2.0,🟢 pretrained,20.01347533597433,15.424850507763844,36.02211028900003,5.740181268882175,14.205816554809845,9.414843749999998,39.27304964539008,2023-11-02,01.AI,Yes
01-ai/Yi-34B-Chat,34.389,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",24.226662652803373,46.98887839820566,37.623987597243485,6.268882175226587,11.74496644295302,8.363802083333338,34.369459219858165,2023-11-02,01.AI,Yes
01-ai/Yi-6B,6.061,2024-06-12,apache-2.0,🟢 pretrained,13.611617485376058,28.93378458046871,19.408504737915056,1.5861027190332326,2.572706935123044,7.044270833333335,22.12433510638298,,,
01-ai/Yi-6B-200K,6.061,2024-06-12,apache-2.0,🟢 pretrained,11.99609829883284,8.433068702154728,20.148020103768047,1.812688821752266,4.250559284116329,16.842447916666668,20.489804964539008,,,
01-ai/Yi-6B-Chat,6.061,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",14.11765000523676,33.95213588833185,17.00016656742376,1.3595166163141994,5.92841163310962,3.5656250000000003,22.90004432624113,,,
01-ai/Yi-9B,8.829,2024-06-12,apache-2.0,🟢 pretrained,17.811867367746064,27.08779372066118,27.62695611207793,5.589123867069486,9.060402684563762,8.909114583333334,28.59781323877068,,,
01-ai/Yi-9B-200K,8.829,2024-06-12,apache-2.0,🟢 pretrained,17.72955178611439,23.270921155866432,26.49249509714754,6.646525679758309,8.7248322147651,12.109114583333332,29.1334219858156,,,
01-ai/Yi-Coder-9B-Chat,8.829,2024-09-12,apache-2.0,🔶 fine-tuned on domain-specific datasets,16.985989314863886,48.17041006750976,25.94315294491389,4.003021148036254,0.0,7.963802083333333,15.83554964539007,,,
1-800-LLMs/Qwen-2.5-14B-Hindi,14.77,2025-02-06,mit,🔶 fine-tuned on domain-specific datasets,36.2661770066689,58.2570911847232,49.32988995210337,33.30815709969788,14.988814317673372,14.350520833333334,47.362588652482266,,,
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,14.77,2025-02-06,apache-2.0,🔶 fine-tuned on domain-specific datasets,31.020777275634742,30.774677854758707,46.54015554088327,31.1178247734139,15.99552572706935,15.432812499999995,46.26366725768322,,,
1024m/PHI-4-Hindi,14.66,2025-02-06,mit,🔶 fine-tuned on domain-specific datasets,27.48785095027712,0.816832670647216,52.46181381023763,23.338368580060425,19.686800894854585,21.519270833333326,47.10401891252955,2024-12-12,Microsoft Research,Yes
