g,C,Q,N_B,D_B,L,s_Q,s_attn,s_train,n_local,shape,loc_Q,active
指数型,1.7782794100389228e+23,0.9999999777760276,17.50088636078156,1295.1757658694448,1.9904705871236208,0.02637626670111836,0.2088376001043265,0.7647861331945551,0,单调下降（上角点 $Q=1$）,[],True
指数型,2.371373705661655e+23,0.9999999777760276,19.857224443371226,1526.9740125861704,1.977331198825238,0.02331934038264451,0.20949329607209305,0.7671873635452624,0,单调下降（上角点 $Q=1$）,[],True
指数型,3.162277660168379e+23,0.9999999777760276,22.540131586515184,1798.8745231424487,1.964782166182625,0.02060086645672763,0.2100763956322394,0.769322737911033,0,单调下降（上角点 $Q=1$）,[],True
指数型,4.2169650342858225e+23,0.9999999777760276,25.59496685764966,2117.736362799511,1.9527945249857992,0.01818680915679221,0.2105941992927199,0.7712189915504879,0,单调下降（上角点 $Q=1$）,[],True
指数型,5.623413251903491e+23,0.9999999777760276,29.073394302459825,2491.5909705031117,1.9413410789828376,0.016045799608077626,0.21105343552604286,0.7729007648658796,0,单调下降（上角点 $Q=1$）,[],True
指数型,7.498942093324558e+23,0.9999999777760276,33.03423989535599,2929.8441360485062,1.9303962495419194,0.014149110322095015,0.21146026624008687,0.7743906234378181,0,单调下降（上角点 $Q=1$）,[],True
指数型,1e+24,0.9999999777760276,37.54448970492195,3443.5107810129616,1.9199359415895119,0.012470563059825957,0.2118203065410009,0.7757091303991732,0,单调下降（上角点 $Q=1$）,[],True
指数型,1.333521432163324e+24,0.9999999777760276,42.68042261222736,4045.4901796249337,1.9099374240250102,0.010986409106872392,0.21213865041360758,0.7768749404795199,0,单调下降（上角点 $Q=1$）,[],True
指数型,1.7782794100389228e+24,0.9999999777760276,48.52890027442974,4750.88822616905,1.9003792229642116,0.009675188358432386,0.2124199009469973,0.7779049106945702,0,单调下降（上角点 $Q=1$）,[],True
指数型,2.3713737056616553e+24,0.9999999777760276,55.18883607423981,5577.394803702185,1.8912410263174666,0.008517575728459516,0.21266820327902336,0.7788142209925172,0,单调下降（上角点 $Q=1$）,[],True
指数型,3.1622776601683796e+24,0.9999999777760276,62.77286816288409,6545.725651731773,1.8825035983586296,0.007496221569592178,0.21288727882545824,0.7796164996049496,0,单调下降（上角点 $Q=1$）,[],True
指数型,4.2169650342858227e+24,0.9999999777760276,71.40926369569117,7680.1398904423895,1.8741487030846955,0.006595591450311524,0.21308045964702158,0.7803239489026669,0,单调下降（上角点 $Q=1$）,[],True
指数型,5.62341325190349e+24,0.9999999777760276,81.24408905979979,9009.045862009487,1.8661590353009534,0.005801808815055853,0.21325072219802743,0.7809474689869167,0,单调下降（上角点 $Q=1$）,[],True
指数型,7.498942093324559e+24,0.9999999777760276,92.44367971192746,10565.710731959138,1.8585181584912083,0.005102503745453786,0.21340071976637107,0.7814967764881752,0,单调下降（上角点 $Q=1$）,[],True
指数型,1e+25,0.9999999777760276,105.19745350243078,12389.091359244301,1.851210448646429,0.004486669416029902,0.21353281326308868,0.7819805173208814,0,单调下降（上角点 $Q=1$）,[],True
指数型,1.3335214321633241e+25,0.9999999777760276,119.7211142221814,14524.807271017493,1.8442210433279027,0.003944527555191532,0.2136491000803276,0.7824063723644809,0,单调下降（上角点 $Q=1$）,[],True
指数型,1.7782794100389228e+25,0.9999999777760276,136.26029981586385,17026.280012364212,1.8375357953328708,0.0034674035321574114,0.21375144088459802,0.7827811555832446,0,单调下降（上角点 $Q=1$）,[],True
指数型,2.3713737056616553e+25,0.9999999777760276,155.09473677993412,19956.067345861666,1.8311412304121897,0.0030476113103520414,0.21384148429371588,0.7831109043959322,0,单调下降（上角点 $Q=1$）,[],True
指数型,3.1622776601683795e+25,0.9999999777760276,176.54297121044323,23387.425596148274,1.8250245085615104,0.002678348185348953,0.21392068945500683,0.7834009623596441,0,单调下降（上角点 $Q=1$）,[],True
