model,date,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,IFEval_se,BBH_se,MATH Lvl 5_se,GPQA_se,MUSR_se,MMLU-PRO_se,C8_mean6
1024m__QWEN-14B-B100,2025-02-06,0.7430683918669131,0.6511022391945843,0.0,0.3482142857142857,0.4087301587301587,0.5178690159574468,0.01880296257563689,0.005792079785331064,0.0,0.022533152157915175,0.01739376079980147,0.004555558434270371,0.4448306819105648
152334H__miqu-1-70b-sf,2024-07-25,0.4584103512014787,0.6087484811664642,0.10800604229607251,0.35267857142857145,0.4576719576719577,0.42278922872340424,0.021442010560476538,0.006018749880229726,0.008327412079276349,0.022599340563901515,0.017763775670625145,0.004503791813915352,0.4013841054146581
1TuanPham__T-VisStar-7B-v0.1,2024-09-21,0.2957486136783734,0.5032112480472141,0.045317220543806644,0.28125,0.4365079365079365,0.3210605053191489,0.01963940536107113,0.006190892843450368,0.005648771496944134,0.021265785688273954,0.017756580039107867,0.00425655368730845,0.31384925401607994
1TuanPham__T-VisStar-v0.1,2024-09-21,0.2957486136783734,0.5032112480472141,0.045317220543806644,0.28125,0.4365079365079365,0.3210605053191489,0.01963940536107113,0.006190892843450368,0.005648771496944134,0.021265785688273954,0.017756580039107867,0.00425655368730845,0.31384925401607994
3rd-Degree-Burn__L-3.1-Science-Writer-8B,2024-11-19,0.35489833641404805,0.5007811143898628,0.1027190332326284,0.27901785714285715,0.3955026455026455,0.36494348404255317,0.02059060857592648,0.0062536290899852,0.008038247394412276,0.021214094157265946,0.017081392990780264,0.004389025779632208,0.33297707845409924
3rd-Degree-Burn__Llama-3.1-8B-Squareroot,2024-10-10,0.1645101663585952,0.34247526471098766,0.2107250755287009,0.25,0.3082010582010582,0.17495013297872342,0.015954017926718054,0.005900920481509878,0.0107164149829864,0.02048079801297601,0.016267701025142092,0.0034637486887418253,0.24181028296301088
3rd-Degree-Burn__Llama-3.1-8B-Squareroot-v1,2024-11-10,0.2199630314232902,0.33153966325290746,0.061933534743202415,0.24330357142857142,0.3333333333333333,0.11269946808510638,0.01782524719221706,0.00600375768656259,0.0064751878084961315,0.02029463862586685,0.016637887788458667,0.0028830052993390415,0.21712876704440184
3rd-Degree-Burn__Llama-Squared-8B,2024-10-08,0.2033271719038817,0.44106925880923453,0.04229607250755287,0.28348214285714285,0.3082010582010582,0.2366190159574468,0.01731971864183471,0.006207967851053724,0.005460504411435486,0.02131682898726214,0.015924891171528243,0.0038747583894021757,0.2524991200393862
4season__final_model_test_v2,2024-07-25,0.25693160813308685,0.6323554938378754,0.013595166163141994,0.31026785714285715,0.4312169312169312,0.3528091755319149,0.018802962575636843,0.005576065201634277,0.003174310553797877,0.021880380205954647,0.017712729688019187,0.004356475219199462,0.33286270533763457
AALF__FuseChat-Llama-3.1-8B-Instruct-preview,2024-11-20,0.6765249537892791,0.509460163166117,0.0702416918429003,0.30357142857142855,0.38095238095238093,0.3732546542553192,0.020131003392118964,0.006210431447671358,0.006897546700992389,0.021747782232917543,0.01706690736882054,0.004409580864687261,0.3856675454295708
