model_dir,BBH,GPQA,IFEval,MATH Lvl 5,MMLU-PRO,MUSR
EpistemeAI_Fireball-12B,51.01544870682173,26.174496644295303,18.33501775289565,4.078549848942599,33.43583776595745,42.32804232804233
EpistemeAI_Fireball-12B-v1.13a-philosophers,50.98073251171672,30.11744966442953,8.755324760524298,3.8519637462235647,33.668550531914896,40.74074074074074
EpistemeAI_Fireball-Alpaca-Llama-3.1-8B-Philos-DPO-200,48.25551119597292,30.033557046979865,45.77243934981405,10.80060422960725,35.82945478723404,39.41798941798942
EpistemeAI_Fireball-Alpaca-Llama3.1.07-8B-Philos-Math-KTO-beta,48.53324075681305,28.02013422818792,72.74010735958367,15.256797583081571,35.43051861702128,36.11111111111111
EpistemeAI_Fireball-Alpaca-Llama3.1.08-8B-Philos-C-R2,49.158132268703355,28.60738255033557,46.731561146646456,12.386706948640484,33.518949468085104,46.164021164021165
EpistemeAI_Fireball-Meta-Llama-3.1-8B-Instruct-0.001-128K-auto,48.047214025342825,31.20805369127517,44.318630123627536,13.293051359516618,35.15625,40.60846560846561
EpistemeAI_Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K,48.79361222010068,29.446308724832214,44.573398582427956,12.084592145015106,35.43051861702128,37.56613756613756
EpistemeAI_Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code,48.758896024995664,30.201342281879196,59.75334335119704,12.084592145015106,34.225398936170215,40.07936507936508
EpistemeAI_Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds,46.45026905051207,27.265100671140942,66.90991014951439,13.36858006042296,33.892952127659576,34.12698412698413
EpistemeAI_Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto,46.189897587224436,29.110738255033556,73.17473193349203,13.51963746223565,34.88198138297872,33.86243386243386
EpistemeAI_Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT,47.52647109876757,29.36241610738255,45.782412886696186,12.386706948640484,34.70744680851064,38.75661375661375
EpistemeAI_Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-ds-auto,47.9951397326853,24.832214765100673,72.04816553411615,14.350453172205437,35.480385638297875,32.93650793650794
EpistemeAI_Fireball-Meta-Llama-3.1-8B-Instruct-Math,49.64415900017358,29.110738255033556,46.22955979024543,9.818731117824774,33.31117021276596,36.37566137566138
EpistemeAI_Fireball-Meta-Llama-3.2-8B-Instruct-agent-003-128k-code-DPO,47.83891685471272,30.033557046979865,46.109655713506825,10.876132930513595,35.2061170212766,39.94708994708995
EpistemeAI_Fireball-Mistral-Nemo-Base-2407-v1-DPO2,49.52265231730602,29.194630872483224,18.607295309778056,3.625377643504532,33.527260638297875,40.34391534391534
EpistemeAI_Fireball-R1-Llama-3.1-8B,36.2089914945322,24.832214765100673,44.27363839058143,31.1178247734139,11.153590425531915,32.804232804232804
EpistemeAI_Llama-3.2-3B-Agent007-Coder,43.04808193022045,25.75503355704698,53.99562050913798,11.10271903323263,28.515625,36.64021164021164
EpistemeAI_Mistral-Nemo-Instruct-12B-Philosophy-Math,53.42822426662038,33.13758389261745,6.946790072563022,9.592145015105741,32.962101063829785,42.857142857142854
EpistemeAI_OpenReasoner-Llama-3.2-3B-rs1.0,44.92275646589134,27.181208053691275,72.74010735958367,13.444108761329304,31.341422872340424,34.523809523809526
EpistemeAI_Polypsyche-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-Empathy,46.172539489671934,27.684563758389263,71.00903380807368,13.972809667673717,33.111702127659576,31.878306878306876
EpistemeAI_Polypsyche-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-Logic,45.53028988022913,28.439597315436245,71.22135932658679,11.858006042296072,33.502327127659576,32.27513227513227
EpistemeAI_Polypsyche-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-divergent,44.97483075854886,26.677852348993287,69.15306941138401,10.27190332326284,32.903922872340424,35.714285714285715
EpistemeAI_Reasoning-Llama-3.1-CoT-RE1-NMT,47.300815830584966,26.090604026845636,48.285327375807306,8.08157099697885,33.42752659574468,31.746031746031743
EpistemeAI_Reasoning-Llama-3.1-CoT-RE1-NMT-V2-ORPO,47.87363304981774,30.70469798657718,45.53263119633683,12.915407854984895,35.979055851063826,39.285714285714285
EpistemeAI_Reasoning-Llama-3.2-1B-Instruct-v1.2,32.99774344731817,26.090604026845636,40.871443325930755,5.0604229607250755,11.785239361702128,32.142857142857146
EpistemeAI_Reasoning-Llama-3.2-1B-Instruct-v1.3,32.32077764277035,25.838926174496645,32.72816127874041,5.0604229607250755,11.727061170212766,32.53968253968254
EpistemeAI_Reasoning-Llama-3.2-3B-Math-Instruct-RE1,43.707689637215765,26.426174496644293,51.19538380386264,10.80060422960725,27.892287234042552,34.25925925925926
EpistemeAI_Reasoning-Llama-3.2-3B-Math-Instruct-RE1-ORPO,44.97483075854886,27.348993288590606,72.89746760816855,15.332326283987916,31.00066489361702,34.78835978835979
EpistemeAI_ReasoningCore-3B-T1_1,45.00954695365388,27.600671140939596,72.74509412802475,15.407854984894259,31.16688829787234,35.44973544973545
