model_dir,n_tasks,mean_all,ifeval,bbh,math,gpqa,musr,mmlu_pro
DreadPoor_Lydia_of_Whiterun-8B-LINEAR,44,44.129903113193016,77.64603474336982,53.78684615538408,16.581598660592917,32.415313468690144,42.49476686507936,38.00698138297872
DreadPoor_Machroom-3B-model_stock,44,29.426334956331267,34.785203260681655,36.232839814807036,2.305565757843629,25.018779575197357,46.075905257936505,16.12367021276596
DreadPoor_Matryoshka-8B-LINEAR,44,44.331490630782966,74.6335279281196,54.437627550883235,15.913402127748293,32.326362640435626,42.508829365079364,38.655252659574465
DreadPoor_Mercury_In_Retrograde-8b-Model-Stock,44,43.81529640709471,74.5298585530836,53.895723086601585,15.199344694785689,32.264379333381015,41.97421048280424,38.289561170212764
DreadPoor_Minthy-8B-Model_Stock,44,43.896212865814235,78.31298731809378,53.52268434361014,17.47126731424912,30.77044919798695,40.92372271825397,39.92686170212766
DreadPoor_Minthy_ALT-8B-Model_Stock,44,43.69260728017515,71.33500223850494,53.743542802344855,16.037815745661522,31.151366635322177,42.2380042989418,36.735372340425535
DreadPoor_Minthy_V2-8B-Model_Stock,44,43.987449592262315,72.94866509749687,54.90441850391243,14.352566828094732,30.056460422966296,41.97421048280423,37.36702127659575
DreadPoor_Minus_Penus-8B-Model_Stock,44,43.80908060158946,74.81837081166859,53.426322871760505,18.25634966717267,31.116888040650625,40.16281001984127,37.516622340425535
DreadPoor_Morphing-8B-Model_Stock,44,43.73696121161083,75.97491323022912,53.96235463296817,16.44678873658925,29.476454287695898,40.6669601521164,38.522273936170215
DreadPoor_Not_Even_My_Final_Form-8B-Model_Stock,44,43.565196482141026,78.95245725785361,53.50181536402574,15.981425871962424,29.952254936525076,41.4559978505291,38.39760638297872
DreadPoor_Nother_One-8B-Model_Stock,44,41.82525256367764,70.94409500126332,52.042965050875104,13.607557625709477,30.410566898612203,38.68264715608466,35.945811170212764
DreadPoor_Noxis-8B-LINEAR,44,44.462491966393785,71.0165139607353,54.200529755390136,18.27155281357879,32.2536311446756,42.2801917989418,36.60239361702128
DreadPoor_Nullsworn-12B-LINEAR,44,42.79520417664127,45.95351445276311,54.81532633699378,10.431020999329297,30.792368402477464,43.468435846560844,36.452792553191486
DreadPoor_Nwah-8B-Model_Stock,44,43.88357406252163,78.255528663945,53.83513776899528,16.558630669723957,31.455122059148906,40.38207258597884,38.07347074468085
DreadPoor_ONeil-model_stock-8B,44,43.36483289363444,70.07728382912893,55.47893787874737,9.338016940769691,30.81313261682389,41.717447916666664,35.9873670212766
DreadPoor_Oh_Boy-8B-LINEAR,44,43.75538707758367,76.70431122754292,53.74378186229012,16.04734755077493,31.255186834045894,41.05913525132275,38.48902925531915
DreadPoor_OrangeJ-8B-Model_Stock,44,43.88898664924692,79.88542622463952,54.1245707096078,15.946128074278143,30.238250749995714,40.26072255291005,39.68583776595745
DreadPoor_Promissum_Mane-8B-LINEAR,44,43.73136709101901,72.75008089646583,54.56978133139112,13.831192019974642,30.152998276425286,41.98592923280424,38.50565159574468
